,name,url
152,Scripting voor Designers (voltijd),https://minoren-han.nl/en/204-scripting-voor-designers-voltijd
153,Semiconductor Packaging (full-time),https://minoren-han.nl/en/443-semiconductor-packaging-full-time
154,Semiconductor Packaging (part-time),https://minoren-han.nl/en/444-semiconductor-packaging-part-time
155,Serious and Applied Games (deeltijd),https://minoren-han.nl/en/666-serious-and-applied-games-deeltijd
156,Slim plannen en organiseren in de zorg,https://minoren-han.nl/en/245-slim-plannen-en-organiseren-in-de-zorg
157,Slimme & gezonde woonomgeving,https://minoren-han.nl/en/652-slimme-gezonde-woonomgeving
158,Smart Industry,https://minoren-han.nl/en/205-smart-industry
159,Sociaal Werk Pedagogiek,https://minoren-han.nl/en/544-sociaal-werk-pedagogiek
160,Sociaal Werk: regisseren en motiveren!,https://minoren-han.nl/en/375-sociaal-werk-regisseren-en-motiveren
161,Sociale Psychiatrie (deeltijd),https://minoren-han.nl/en/630-sociale-psychiatrie-deeltijd
162,Sociale psychiatrie (voltijd),https://minoren-han.nl/en/331-sociale-psychiatrie-voltijd
163,Specialist bewegingsonderwijs en gezonde school,https://minoren-han.nl/en/493-specialist-bewegingsonderwijs-en-gezonde-school
164,Sport en Economie,https://minoren-han.nl/en/249-sport-en-economie
165,Sport Event Marketing,https://minoren-han.nl/en/294-sport-event-marketing
166,Sportpsychologie en Sportpedagogiek: 1 + 1 = 3,https://minoren-han.nl/en/629-sportpsychologie-en-sportpedagogiek-1-1-3
167,Sports Nutrition,https://minoren-han.nl/en/142-sports-nutrition
168,Sportvoeding (deeltijd),https://minoren-han.nl/en/528-sportvoeding-deeltijd
169,Sportvoeding (voltijd),https://minoren-han.nl/en/549-sportvoeding-voltijd
170,Strategic Branding,https://minoren-han.nl/en/452-strategic-branding
171,Strength and Conditioning (NL),https://minoren-han.nl/en/668-strength-and-conditioning-nl
172,Synthesis and Characterisation of molecules,https://minoren-han.nl/en/567-synthesis-and-characterisation-of-molecules
173,Synthetiseren en karakteriseren van moleculen,https://minoren-han.nl/en/568-synthetiseren-en-karakteriseren-van-moleculen
174,Systeemgericht werken in de jeugdhulp (voltijd),https://minoren-han.nl/en/506-systeemgericht-werken-in-de-jeugdhulp-voltijd
175,Trainen en coachen in organisaties,https://minoren-han.nl/en/302-trainen-en-coachen-in-organisaties
176,"Transferminor Engineering Systems (full-time and
                          part-time)",https://minoren-han.nl/en/646-transferminor-engineering-systems-full-time-and-part-time
177,Vakverdieping Geschiedenis,https://minoren-han.nl/en/278-vakverdieping-geschiedenis
178,Verandercommunicatie,https://minoren-han.nl/en/649-verandercommunicatie
179,Verandermanagement (deeltijd- duaal),https://minoren-han.nl/en/669-verandermanagement-deeltijd-duaal
180,Verslavingskunde (deeltijd),https://minoren-han.nl/en/382-verslavingskunde-deeltijd
181,Verslavingskunde (voltijd),https://minoren-han.nl/en/73-verslavingskunde-voltijd
182,Vitale Zorg deeltijd,https://minoren-han.nl/en/587-vitale-zorg-deeltijd
183,VMBO,https://minoren-han.nl/en/494-vmbo
184,Voedings- en Beweegcoach (deeltijd),https://minoren-han.nl/en/529-voedings-en-beweegcoach-deeltijd
185,Voedings- en Beweegcoach (voltijd),https://minoren-han.nl/en/606-voedings-en-beweegcoach-voltijd
186,Voetbalbusiness,https://minoren-han.nl/en/519-voetbalbusiness
187,Voetbalbusiness (online),https://minoren-han.nl/en/530-voetbalbusiness-online
188,Vrije Schoolonderwijs,https://minoren-han.nl/en/641-vrije-schoolonderwijs
189,Werken in gedwongen kader (deeltijd),https://minoren-han.nl/en/55-werken-in-gedwongen-kader-deeltijd
190,Werken in gedwongen kader (voltijd),https://minoren-han.nl/en/56-werken-in-gedwongen-kader-voltijd
191,"Zingevingsgericht werken in social work, zorg en
                          welzijn (deeltijd)",https://minoren-han.nl/en/342-zingevingsgericht-werken-in-social-work-zorg-en-welzijn-deeltijd
192,"Zingevingsgericht werken in social work, zorg en
                          welzijn (voltijd)",https://minoren-han.nl/en/343-zingevingsgericht-werken-in-social-work-zorg-en-welzijn-voltijd
